name;address;phone;site;description
Casa do Norte Nova Canaã - Produtos Nordestinos em SP;Av. Cásper Líbero, 525 - Centro Histórico de São Paulo, São Paulo - SP, 01028-000;(11) 3228-4085;https://www.instagram.com/casanovacanaa/;Outros horários
Restaurante Casa do Norte;R. Barra Funda, 341 - Barra Funda, São Paulo - SP, 01152-000;(11) 3662-1434;https://www.google.com/maps/place/Casa+do+Norte+Nova+Cana%C3%A3+-+Produtos+Nordestinos+em+SP/data=!4m7!3m6!1s0x94ce58599bf42fff:0xbee0849802c59059!8m2!3d-23.5368194!4d-46.6358573!16s%2Fg%2F11h109gnr!19sChIJ_y_0m1lYzpQRWZDFApiE4L4?authuser=0&hl=pt-BR&rclk=1;Not available
Casa do Norte Bom Retiro;Rua Três Rios, 496 - Bom Retiro, São Paulo - SP, 01123-000;(11) 3223-2042;https://casadonortebomretiro.com.br/;Not available
Casa do Norte - Coração do Agreste;R. Santo Antônio, 452 - Bela Vista, São Paulo - SP, 01314-000;(11) 98420-7213;https://www.google.com/maps/place/Casa+do+Norte+Nova+Cana%C3%A3+-+Produtos+Nordestinos+em+SP/data=!4m7!3m6!1s0x94ce58599bf42fff:0xbee0849802c59059!8m2!3d-23.5368194!4d-46.6358573!16s%2Fg%2F11h109gnr!19sChIJ_y_0m1lYzpQRWZDFApiE4L4?authuser=0&hl=pt-BR&rclk=1;Not available
Casa do Norte Brás-Zão;R. Dr. Almeida Lima, 95 - Brás, São Paulo - SP, 03046-010;(11) 2291-3549;https://www.google.com/maps/place/Casa+do+Norte+Nova+Cana%C3%A3+-+Produtos+Nordestinos+em+SP/data=!4m7!3m6!1s0x94ce58599bf42fff:0xbee0849802c59059!8m2!3d-23.5368194!4d-46.6358573!16s%2Fg%2F11h109gnr!19sChIJ_y_0m1lYzpQRWZDFApiE4L4?authuser=0&hl=pt-BR&rclk=1;Not available
Casa do Norte Luizão;R. Frederico Abranches, 451 - Santa Cecilia, São Paulo - SP, 01225-001;(11) 2619-7057;https://www.google.com/maps/place/Casa+do+Norte+Nova+Cana%C3%A3+-+Produtos+Nordestinos+em+SP/data=!4m7!3m6!1s0x94ce58599bf42fff:0xbee0849802c59059!8m2!3d-23.5368194!4d-46.6358573!16s%2Fg%2F11h109gnr!19sChIJ_y_0m1lYzpQRWZDFApiE4L4?authuser=0&hl=pt-BR&rclk=1;Not available
Casa do Norte Azevedo (na República - Centro SP);R. Joaquim Gustavo, 40 - República, São Paulo - SP, 01045-020;(11) 97806-7315;https://www.instagram.com/casadonorteazevedo/;Geralmente, as perguntas são respondidas pela comunidade em até 20 minutos.
casa do norte carneiro;R. Camomil, 89 - Canindé, São Paulo - SP, 03032-010;(11) 97037-3299;https://www.google.com/maps/place/Casa+do+Norte+Nova+Cana%C3%A3+-+Produtos+Nordestinos+em+SP/data=!4m7!3m6!1s0x94ce58599bf42fff:0xbee0849802c59059!8m2!3d-23.5368194!4d-46.6358573!16s%2Fg%2F11h109gnr!19sChIJ_y_0m1lYzpQRWZDFApiE4L4?authuser=0&hl=pt-BR&rclk=1;Geralmente, as perguntas são respondidas pela comunidade em até 20 minutos.
CASA DO NORTE TRES RIOS;Rua Três Rios, 70 - Bom Retiro, São Paulo - SP, 08347-650;Not available;https://www.instagram.com/casadonortetresrios;Not available
Casa Do Norte Serra Sertão;Rua Martinho Prado, 29 - Bela Vista, São Paulo - SP, 01306-050;(11) 96093-8222;https://www.google.com/maps/place/Casa+do+Norte+Nova+Cana%C3%A3+-+Produtos+Nordestinos+em+SP/data=!4m7!3m6!1s0x94ce58599bf42fff:0xbee0849802c59059!8m2!3d-23.5368194!4d-46.6358573!16s%2Fg%2F11h109gnr!19sChIJ_y_0m1lYzpQRWZDFApiE4L4?authuser=0&hl=pt-BR&rclk=1;Not available
